observation_date,FPCPITOTLZGMEX
1960-01-01,4.927518869031160
1961-01-01,1.608759690819300
1962-01-01,1.198984178150820
1963-01-01,0.594055008461965
1964-01-01,2.337903172343620
1965-01-01,3.568038657429360
1966-01-01,4.215788377384350
1967-01-01,3.016948475021480
1968-01-01,2.333950934670260
1969-01-01,3.367003367116780
1970-01-01,5.003412054834310
1971-01-01,5.469028993768380
1972-01-01,4.943692363778750
1973-01-01,12.081939461293800
1974-01-01,23.784015442578699
1975-01-01,14.944534640926699
1976-01-01,15.824722489347000
1977-01-01,29.064124710346100
1978-01-01,17.457292567826499
1979-01-01,18.191246298764302
1980-01-01,26.351651356283401
1981-01-01,27.933762598239898
1982-01-01,58.913419853104799
1983-01-01,101.874938435991993
1984-01-01,65.448807127760205
1985-01-01,57.748448400870203
1986-01-01,86.233316992353792
1987-01-01,131.827383923089997
1988-01-01,114.162258549065996
1989-01-01,20.007876713997799
1990-01-01,26.651672564677099
1991-01-01,22.662359455061001
1992-01-01,15.507896253357300
1993-01-01,9.751460453575531
1994-01-01,6.965812371911230
1995-01-01,34.999271288959200
1996-01-01,34.378383223516799
1997-01-01,20.625628725924699
1998-01-01,15.928395011935301
1999-01-01,16.585616970753801
2000-01-01,9.491561494354031
2001-01-01,6.367738062350370
2002-01-01,5.030727331512950
2003-01-01,4.546900121187180
2004-01-01,4.688408848431430
2005-01-01,3.988057145974370
2006-01-01,3.629467624391320
2007-01-01,3.966849054582350
2008-01-01,5.124982745758960
2009-01-01,5.297355842288560
2010-01-01,4.156727226801740
2011-01-01,3.407378246057420
2012-01-01,4.111509810702890
2013-01-01,3.806390697472040
2014-01-01,4.018616080786790
2015-01-01,2.720640649640230
2016-01-01,2.821707847476600
2017-01-01,6.041457240189860
2018-01-01,4.899350153565510
2019-01-01,3.635961421270460
2020-01-01,3.396834155700060
2021-01-01,5.689208476837530
2022-01-01,7.896276191685500
2023-01-01,5.527960873143890
2024-01-01,4.722255884529320
